ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
